Тест Кейс №/ID,TC-RT-014,
Проект,https://b2c.passport.rt.ru/account_b2c/page,
Компонент,Регистрация,
Дата,09.03.2025,
Тестировщик,Андреев Александр QAM-66,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Регистрация с некорректным именем (менее 2 символов).,
Описание:,Проверка регистрация с некорректным именем (менее 2 символов). Успех - отказ в операции если имеются меньше двух символов имени,
Предусловия:,Открыт сайт регистрации Ростелеком ID,
Тестовые данные:,https://b2c.passport.rt.ru/auth/realms/b2c/login-actions/registration?client_id=account_b2c&tab_id=I-VDzAnxSzY,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыта главная страница входа,Сайт загружен.
2,"Нажимаекм на кнопку ""Зарегистрироваться""",Перенаправление на поле для ввода данных
3,"Вводим данные пользователя в поле ""Имя и Фамилия"" вводим по одной букве и придумываем пароль","Данные успешно введены, появляется предупреждение ""Необходимо заполнить поле кириллицей. От 2 до 30 символов"""
