Тест Кейс №/ID	TC-RT-004	
Проект	https://b2c.passport.rt.ru/account_b2c/page	
Компонент	Авторизация	
Дата	09.03.2025	
Тестировщик	Андреев Александр QAM-66	
Проверил		
Дата проверки		
		
Название/заголовок	Авторизация по почте с корректными данными.	
Описание:	Успешная авторизация по почте с корректными данными.	
Предусловия:	Открыт сайт авторизации Ростелеком ID	
Тестовые данные:	Сайт- https://b2c.passport.rt.ru/account_b2c/page	
		
Шаг	Описание шага	Ожидаемый результат
1	Открыта главная страница входа	Сайт загружен.
2	Убеждаемся что вкладка авторизации находиться на "Почта"	Вкладка находиться на "Почта"
3	В графе "Почта" - вводим свой email для входа	Успешно ввели свой email
4	В графе "Пароль" - вводим свой пароль для входа	Успешно ввели свой пароль
5	Нажимаем войти	Успешная авторизация
