Тест Кейс №/ID,TC-RT-001,
Проект,https://b2c.passport.rt.ru/account_b2c/page,
Компонент,Авторизация,
Дата,09.03.2025,
Тестировщик,Андреев Александр QAM-66,
Проверил,,
Дата проверки,,
,,
Название/заголовок,Проверка отображения формы авторизации.,
Описание:,Успешная проверка отображения формы авторизации.,
Предусловия:,Открыт сайт авторизации Ростелеком ID,
Тестовые данные:,Сайт- https://b2c.passport.rt.ru/account_b2c/page,
,,
Шаг,Описание шага,Ожидаемый результат
1,Открыть страницу https://b2c.passport.rt.ru/account_b2c/page,Страница открыта
2,"Проверка работоспособности кнопок (Телефон, Почта, Логин, Лицевой счет)",Все кнопки нажимаются и параметры входя меняются в зависимости от кнопки
3,"Проверка входа другим способом, ссылки от приложений",Успешное перенаправление на сайт ссылки
4,Проверка кнопки помощь,Высвечивается окно с частыми проблемами
